x[mm]	y[mm]	ampx_meas[mm]	ampy_meas[mm]	p2p_x[m]	p2p_y[m]
2.4	2.2	2.3321745	1.2329095	0.004677203	0.002458416
2.4	2.4	2.359465	1.324732	0.004715574	0.002638747
2.4	2.6	2.393177	1.418836	0.004771072	0.002830848
2.4	2.8	2.425058	1.504329	0.004835747	0.002998804
2.4	3.0	2.4616025	1.590327	0.004912527	0.003176532
2.4	3.2	2.505294	1.6500725	0.004996626	0.003308859
2.4	3.4	2.508986	1.734366	0.005036101	0.003490065
2.4	3.6	2.5970215	1.8280765	0.005174894	0.003661709

2.6	0.4	2.4785005	0.343287	0.004961929	0.000684054
2.6	0.6	2.483135	0.434637	0.004961353	0.000870425
2.6	0.8	2.4822305	0.5308035	0.004969398	0.001061215
2.6	1.0	2.4820995	0.6294125	0.004973087	0.00125462
2.6	1.2	2.487649	0.7346315	0.004975436	0.001470435
2.6	1.4	2.488334	0.843468	0.004974631	0.001689239
2.6	1.6	2.48619	0.9554115	0.004973511	0.001908347
2.6	1.8	2.4884425	1.0638615	0.00497634	0.00211863
2.6	2.0	2.499924	1.168953	0.004978456	0.002327997
2.6	2.2	2.5171075	1.266839	0.005047302	0.002538229
2.6	2.4	2.5425405	1.36525	0.005070667	0.00273528
2.6	2.6	2.5625595	1.4602935	0.005134653	0.002912323
2.6	2.8	2.5971445	1.5449415	0.005220388	0.003094684
2.6	3.0	2.6493535	1.630369	0.005295905	0.003263078
2.6	3.2	2.6889625	1.708439	0.005395763	0.003414553
2.6	3.4	2.727672	1.7931215	0.005505259	0.003573854
2.6	3.6	2.7641475	1.8731185	0.005591405	0.003728024

2.8	0.4	2.6765025	0.3734335	0.005352283	0.000747231
2.8	0.6	2.677439	0.4621135	0.00535621	0.000925145
2.8	0.8	2.6781965	0.5566255	0.005354225	0.001114675
2.8	1.0	2.6810005	0.6603445	0.005353058	0.001316742
2.8	1.2	2.678478	0.7640405	0.005352565	0.001529701
2.8	1.4	2.6842095	0.884342	0.005358982	0.001763453
2.8	1.6	2.678052	0.9986365	0.005360641	0.001995697
2.8	1.8	2.676755	1.112353	0.00535457	0.002225941
2.8	2.0	2.681413	1.216748	0.005365549	0.002430724
2.8	2.2	2.7016305	1.315459	0.005408433	0.002644257
2.8	2.4	2.7310635	1.4100995	0.00542918	0.002822451
2.8	2.6	2.76283	1.4963775	0.005528226	0.002993166
2.8	2.8	2.791649	1.580313	0.005585192	0.00317158
2.8	3.0	2.837419	1.676322	0.005679273	0.003343613
2.8	3.2	2.8850015	1.738837	0.005724529	0.003491408
2.8	3.4	2.937013	1.819874	0.005927907	0.003640082
2.8	3.6	4.078258	2.948062	0.0	0.0

3.0	0.4	2.865291	0.4222795	0.00573224	0.000841177
3.0	0.6	2.875224	0.508707	0.00574917	0.001015244
3.0	0.8	2.878314	0.6031655	0.005746806	0.00120618
3.0	1.0	2.8852045	0.7080265	0.005762878	0.001411457
3.0	1.2	2.890463	0.825418	0.005780436	0.001652403
3.0	1.4	2.887015	0.9483405	0.005772643	0.001890534
3.0	1.6	2.8772255	1.065528	0.005767733	0.002121649
3.0	1.8	2.883031	1.1775025	0.005778032	0.002353612
3.0	2.0	2.877545	1.2813565	0.005760143	0.002559456
3.0	2.2	2.8734545	1.369689	0.005749734	0.002739318
3.0	2.4	2.903002	1.468268	0.005754451	0.002931716
3.0	2.6	2.920391	1.5561605	0.005893853	0.003121067
3.0	2.8	2.96109	1.6342295	0.005951253	0.003259831
3.0	3.0	3.018987	1.7193775	0.006071612	0.003414202
3.0	3.2	3.054674	1.787818	0.006196531	0.003576242
3.0	3.4	3.1413635	1.8848555	0.0	0.0
3.0	3.6	0.0	0.0	0.0	0.0

3.2	0.4	3.0678525	0.5069565	0.006138806	0.001010903
3.2	0.6	3.0643525	0.586473	0.00614297	0.001174685
3.2	0.8	3.063599	0.679425	0.006175096	0.001362186
3.2	1.0	3.091325	0.8006105	0.006203769	0.001601728
