@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB2"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050196
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0002071977779
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le          26658.8832
@ ALFA             %le       0.00034799894
@ ORBIT5           %le                  -0
@ GAMMATR          %le         53.60570838
@ Q1               %le               62.31
@ Q2               %le               60.32
@ DQ1              %le         2.000004327
@ DQ2              %le         2.000004327
@ DXMAX            %le         2.886807711
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6010.066268
@ BETYMAX          %le         6010.066268
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.498432877
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %22s "Model creator for java"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "02/02/18"
@ TIME             %08s "15.34.16"
* NAME                                S                  L KEYWORD            PARENT                            K1L 
 "MQT.14R1.B2"              3790.791874               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.14R1.B2"               3794.189874                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.15R1.B2"               3844.24039               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.15R1.B2"                3847.63839                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.16R1.B2"              3897.688906               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.16R1.B2"               3901.086906                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.17R1.B2"              3951.137421               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.17R1.B2"               3954.535421                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.18R1.B2"              4004.585937               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.18R1.B2"               4007.983937                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.19R1.B2"              4058.034453               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.19R1.B2"               4061.432453                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.20R1.B2"              4111.482969               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.20R1.B2"               4114.880969                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.21R1.B2"              4164.931485               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.21R1.B2"               4168.329485                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.22R1.B2"               4221.778001                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQS.23R1.B2"              4271.828517               0.32 "QUADRUPOLE"        "MQS"                               -0
 "MQ.23R1.B2"               4275.226517                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.24R1.B2"               4328.675033                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.25R1.B2"               4382.123549                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.26R1.B2"               4435.572065                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQS.27R1.B2"               4485.62258               0.32 "QUADRUPOLE"        "MQS"                               -0
 "MQ.27R1.B2"                4489.02058                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.28R1.B2"               4542.469096                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.29R1.B2"               4595.917612                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.30R1.B2"               4649.366128                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.31R1.B2"               4702.814644                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.32R1.B2"                4756.26316                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.33R1.B2"               4809.711676                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.34R1.B2"               4863.160192                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.33L2.B2"               4916.608708                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.32L2.B2"               4970.057224                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.31L2.B2"                5023.50574                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.30L2.B2"               5076.954255                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.29L2.B2"               5130.402771                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.28L2.B2"               5183.851287                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQS.27L2.B2"              5233.901803               0.32 "QUADRUPOLE"        "MQS"                               -0
 "MQ.27L2.B2"               5237.299803                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.26L2.B2"               5290.748319                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
